ESCUELA|CODIGO
MEDICINA HUMANA|011
OBSTETRICIA|012
ENFERMERÍA|013
TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA|0141
TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN|0142
TEC. MED. RADIOLOGÍA|0143
TEC. MED. TERAPIA OCUPACIONAL|0144
NUTRICION|015
DERECHO|022
CIENCIA POLÍTICA|023
LITERATURA|031
LENGUAS, TRADUCCIÓN E INTERPRETACIÓN|0310
FILOSOFÍA|033
LINGUÍSTICA|034
COMUNICACIÓN SOCIAL|035
ARTE|036
BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN|037
DANZA|038
CONSERVACIÓN Y RESTAURACIÓN|039
FARMACIA Y BIOQUÍMICA|041
CIENCIAS DE LOS ALIMENTOS|042
TOXICOLOGÍA|043
ODONTOLOGÍA|051
EDUCACIÓN INICIAL|0611
EDUCACIÓN PRIMARIA|0612
EDUCACIÓN SECUNDARIA|0613
EDUCACIÓN FÍSICA|062
QUÍMICA|071
INGENIERÍA QUÍMICA|072
INGENIERÍA AGROINDUSTRIAL|073
MEDICINA VETERINARIA|081
ADMINISTRACIÓN - LIMA|091
ADMINISTRACIÓN - S.J.L|0911
ADMINISTRACIÓN - HUARAL|0912
ADMINISTRACIÓN DE TURISMO - LIMA|092
ADMINISTRACIÓN DE TURISMO - S.J.L|0921
ADMINISTRACIÓN DE TURISMO - HUARAL|0922
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - LIMA|093
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L|0931
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - HUARAL|0932
ADMINISTRACIÓN DE LA GASTRONOMÍA|094
ADMINISTRACIÓN MARÍTIMA Y PORTUARIA|095
MARKETING|096
CIENCIAS BIOLÓGICAS|101
GENÉTICA Y BIOTECNOLOGÍA|102
MICROBIOLOGÍA Y PARASITOLOGÍA|103
CONTABILIDAD - LIMA|111
CONTABILIDAD - S.J.L|1111
CONTABILIDAD - HUARAL|1112
GESTIÓN TRIBUTARIA - LIMA|112
GESTIÓN TRIBUTARIA - S.J.L|1121
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA|113
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - S.J.L|1131
PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA|114
PRESUPUESTO Y FINANZAS PÚBLICAS - S.J.L|1141
ECONOMÍA|121
ECONOMÍA PÚBLICA|122
ECONOMÍA INTERNACIONAL|123
FÍSICA|131
INGENIERÍA MECÁNICA DE FLUIDOS|132
MATEMÁTICA|141
ESTADÍSTICA|142
INVESTIGACIÓN OPERATIVA|144
COMPUTACIÓN CIENTÍFICA|145
HISTORIA|151
SOCIOLOGÍA|152
ANTROPOLOGÍA|153
ARQUEOLOGÍA|154
TRABAJO SOCIAL|155
GEOGRAFÍA|157
INGENIERÍA GEOLÓGICA|162
INGENIERÍA GEOGRÁFICA|163
INGENIERÍA DE MINAS|165
INGENIERÍA METALÚRGICA|166
INGENIERÍA CIVIL|167
INGENIERÍA AMBIENTAL|168
ARQUITECTURA Y URBANISMO|169
INGENIERÍA INDUSTRIAL|171
INGENIERÍA TEXTIL Y CONFECCIONES|172
INGENIERÍA DE SEGURIDAD Y SALUD EN EL TRABAJO|173
PSICOLOGÍA|181
PSICOLOGÍA - CHILCA|1814
PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA|182
INGENIERÍA ELECTRÓNICA|191
INGENIERÍA ELÉCTRICA|192
INGENIERÍA ELÉCTRICA - CHILCA|1924
INGENIERÍA DE TELECOMUNICACIONES|193
INGENIERÍA BIOMÉDICA|194
INGENIERÍA DE SISTEMAS|201
INGENIERÍA DE SOFTWARE|202
CIENCIA DE LA COMPUTACIÓN|203
